Function Name,Description,Required Before,Complexity,Error Types,External Dependencies,Used In,Depends On
load_image,Загружает изображение по пути из аргумента командной строки,,,,,,
detect_faces_3ddfa,Детектирует лица на изображении с помощью FaceBoxes для 3DDFA,,,,,,load_image
estimate_pose_3ddfa,Оценивает параметры позы (yaw/pitch/roll) головы с помощью 3DDFA,,,,,,detect_faces_3ddfa
classify_pose_type,"Классифицирует ракурс головы на один из пяти типов: фронтальный, профиль и т.д.",,,,,,estimate_pose_3ddfa
filter_pose_confidence,Оценивает достоверность углов головы и фильтрует по порогу confidence,,,,,,classify_pose_type
calculate_3ddfa_metrics_frontal,Вычисляет метрики для фронтального ракурса по 3DDFA,,,,,,classify_pose_type
calculate_fan_metrics_frontal,Вычисляет метрики FAN для фронтального ракурса,,,,,,classify_pose_type
calculate_mediapipe_metrics_frontal,Вычисляет глобальные метрики MediaPipe для фронтального ракурса,,,,,,classify_pose_type
calculate_deviation_fan_3ddfa,Сравнивает координаты FAN и 3DDFA и рассчитывает отклонения,,,,,,"calculate_fan_metrics_frontal, calculate_3ddfa_metrics_frontal"
extract_depth_map,Извлекает depth-карту из 3DDFA,,,,,,estimate_pose_3ddfa
extract_normal_map,Извлекает карту нормалей из 3DDFA,,,,,,estimate_pose_3ddfa
analyze_depth_zones,"Анализирует глубину по зонам: нос, щеки, подбородок и т.д.",,,,,,extract_depth_map
analyze_normal_surface,Анализирует микроперепады по карте нормалей для выявления масок,,,,,,extract_normal_map
extract_uv_texture,Извлекает UV-развёртку текстуры из 3DDFA,,,,,,estimate_pose_3ddfa
analyze_uv_texture_lab,Преобразует текстуру в LAB-пространство и анализирует цветовую однородность,,,,,,extract_uv_texture
analyze_uv_texture_histogram,Строит гистограммы по текстуре и анализирует равномерность,,,,,,extract_uv_texture
analyze_texture_uniformity,"Вычисляет коэффициент равномерности текстуры (например, пигментация)",,,,,,extract_uv_texture
extract_insightface_embedding,Извлекает embedding-вектор лица с помощью InsightFace,,,,,,load_image
calculate_embedding_distance,Считает расстояние между embedding-векторами,,,,,,extract_insightface_embedding
cluster_embeddings,Кластеризует embedding-вектора для выявления групп лиц,,,,,,calculate_embedding_distance
mark_anomalous_by_deviation,Отмечает аномалии по сильным расхождениям между FAN и 3DDFA,,,,,,calculate_deviation_fan_3ddfa
mark_anomalous_by_texture,Отмечает аномалии по текстурной однородности,,,,,,analyze_texture_uniformity
mark_anomalous_by_shape_error,Отмечает аномалии по shape error 3DDFA,,,,,,estimate_pose_3ddfa
aggregate_all_metrics,Объединяет все метрики из разных библиотек в общий словарь,,,,,,Все метрики
build_final_json,"Собирает финальный JSON с метриками, отклонениями, embedding и флагами",,,,,,aggregate_all_metrics
render_landmarks_on_image,"Рисует landmarks на изображении (FAN, 3DDFA)",,,,,,calculate_fan_metrics_frontal
draw_fan_connections,Рисует соединения между точками FAN (аналог 68 точек),,,,,,calculate_fan_metrics_frontal
draw_3ddfa_wireframe,Рисует проволочный каркас по данным 3DDFA,,,,,,estimate_pose_3ddfa
save_json,Сохраняет финальный JSON на диск,,,,,,build_final_json
save_debug_image,Сохраняет итоговое изображение с landmarks и mesh,,,,,,render_landmarks_on_image
save_uv_texture,Сохраняет UV-текстуру,,,,,,extract_uv_texture
save_depth_map,Сохраняет depth карту,,,,,,extract_depth_map
save_pncc_map,Сохраняет PNCC карту,,,,,,estimate_pose_3ddfa
save_obj_file,Сохраняет 3D OBJ файл,,,,,,estimate_pose_3ddfa
save_ply_file,Сохраняет 3D PLY файл,,,,,,estimate_pose_3ddfa
save_normal_map,Сохраняет карту нормалей,,,,,,extract_normal_map
log_processing_status,Логирует текущий этап обработки изображения,,,,,,main
log_face_detection_failure,Логирует неудачу детекции лица,,,,,,detect_faces_3ddfa
normalize_metric_keys,Приводит ключи метрик к единому формату,,,,,,aggregate_all_metrics
filter_low_confidence_metrics,Удаляет или помечает метрики с низкой достоверностью,,,,,,aggregate_all_metrics
load_config,Загружает YAML конфиг для 3DDFA,,,,,,main
init_3ddfa,Инициализирует модель 3DDFA,,,,,,load_config
init_fan,Инициализирует модель FAN,,,,,,main
init_mediapipe,Инициализирует MediaPipe FaceMesh,,,,,,main
init_insightface,Инициализирует модель InsightFace,,,,,,main
main,Основная функция обработки изображения и вызова всех этапов,,,,,,Все функции
